Name,Size,Unit,MRP,Price,Brand_Name,Rating,Num_Rating,Benefit_area,Url
ADEL 1 Apo-Dolor Drop,20,ml,295,259,ADEL,4.699999809,31,ear,/otc/adel-1-apo-dolor-drop-otc326144
ADEL 14 Ferrodona Drop,20,ml,295,231,ADEL,4.599999905,18,blood,/otc/adel-14-ferrodona-drop-otc326106
ADEL 16 Gastul Drop,20,ml,295,246,ADEL,4.699999809,25,liver,/otc/adel-16-gastul-drop-otc327732
ADEL 17 Glautaract Drop,20,ml,295,246,ADEL,4.599999905,74,eye,/otc/adel-17-glautaract-drop-otc326103
ADEL 18 Glucorect Drop,20,ml,295,246,ADEL,4.400000095,75,blood,/otc/adel-18-glucorect-drop-otc327731
ADEL 21 Proscenat Drop,20,ml,295,246,ADEL,4.5,47,hair,/otc/adel-21-proscenat-drop-otc326098
ADEL 28 Plevent Drop,20,ml,295,259,ADEL,4.599999905,74,ear,/otc/adel-28-plevent-drop-otc326092
ADEL 32 Opsonat Drop,20,ml,295,260,ADEL,0,0,skin,/otc/adel-32-opsonat-drop-otc326087
ADEL 33 Apo-Oedem Drop,20,ml,295,228,ADEL,4.599999905,17,ear,/otc/adel-33-apo-oedem-drop-otc327728
ADEL 36 Pollon Drop,20,ml,295,248,ADEL,4.199999809,83,blood,/otc/adel-36-pollon-drop-otc325883
ADEL 43 Cardinorma Drop,20,ml,295,243,ADEL,4.599999905,8,ear,/otc/adel-43-cardinorma-drop-otc327725
ADEL 44 Venorbis Drop,20,ml,295,255,ADEL,4.400000095,40,ear,/otc/adel-44-venorbis-drop-otc326083
ADEL 5 Apo-Stom Drop,20,ml,295,243,ADEL,4.400000095,52,ear,/otc/adel-5-apo-stom-drop-otc326118
ADEL 51 Psy-Stabil Drop,20,ml,295,259,ADEL,4.400000095,69,ear,/otc/adel-51-psy-stabil-drop-otc327724
ADEL 6 Apo-Strum Drop,20,ml,295,259,ADEL,4.5,54,thyroid,/otc/adel-6-apo-strum-drop-otc326117
ADEL 66 Toxex Drop,20,ml,295,246,ADEL,4.5,76,liver,/otc/adel-66-toxex-drop-otc326069
ADEL 73 Mucan Drop,20,ml,295,246,ADEL,4,24,ear,/otc/adel-73-mucan-drop-otc326062
ADEL 78 Dercut Ointment,35,gm,510,459,ADEL,3.900000095,18,skin,/otc/adel-78-dercut-ointment-otc326056
ADEL 79 Ferrodona Tonic,250,ml,860,774,ADEL,4.699999809,22,blood,/otc/adel-79-ferrodona-tonic-otc327719
ADEL 83 Bronchi-Pertu Syrup,150,ml,485,389,ADEL,4.300000191,33,eye,/otc/adel-83-bronchi-pertu-syrup-otc326054
ADEL 86 Verintex N External Drop,20,ml,295,238,ADEL,0,0,skin,/otc/adel-86-verintex-n-external-drop-otc326149
ADEL 9 Cri-Regen Drop,20,ml,295,246,ADEL,4.199999809,51,hair,/otc/adel-9-cri-regen-drop-otc326114
ADEL Acid Fluor Dilution 200,10,ml,165,141,ADEL,4.400000095,11,blood,/otc/adel-acid-fluor-dilution-200-otc332656
ADEL Acid Phos Mother Tincture Q,20,ml,270,243,ADEL,4.400000095,20,hair,/otc/adel-acid-phos-mother-tincture-q-otc327070
ADEL Arnica Montana Mother Tincture Q,20,ml,300,270,ADEL,0,0,eye,/otc/adel-arnica-montana-mother-tincture-q-otc328792
ADEL Ars. Sulf Rub. Trituration Tablet 3X,20,gm,280,252,ADEL,0,0,ear,/otc/adel-ars.-sulf-rub.-trituration-tablet-3x-otc327087
ADEL Aspidosperma Mother Tincture Q,20,ml,340,306,ADEL,0,0,blood,/otc/adel-aspidosperma-mother-tincture-q-otc327038
ADEL Berberis Vulg Mother Tincture Q,20,ml,270,243,ADEL,4.599999905,30,skin,/otc/adel-berberis-vulg-mother-tincture-q-otc328879
ADEL Calcarea Fluor Biochemic Tablet 12X,20,gm,180,162,ADEL,4.5,14,thyroid,/otc/adel-calcarea-fluor-biochemic-tablet-12x-otc732623
ADEL Calcarea Fluor Biochemic Tablet 6X,20,gm,180,162,ADEL,4.5,14,thyroid,/otc/adel-calcarea-fluor-biochemic-tablet-6x-otc326300
ADEL Carduus Mar. Mother Tincture Q,20,ml,270,243,ADEL,0,0,eye,/otc/adel-carduus-mar.-mother-tincture-q-otc724033
ADEL Chimaphila Mother Tincture Q,20,ml,300,270,ADEL,5,5,skin,/otc/adel-chimaphila-mother-tincture-q-otc327709
ADEL China Officinalis Mother Tincture Q,20,ml,270,243,ADEL,5,9,liver,/otc/adel-china-officinalis-mother-tincture-q-otc327708
ADEL Cholesterinum Trituration Tablet 3X,20,gm,260,234,ADEL,4.800000191,5,liver,/otc/adel-cholesterinum-trituration-tablet-3x-otc329078
ADEL Crataegus Mother Tincture Q,20,ml,270,243,ADEL,4.199999809,5,skin,/otc/adel-crataegus-mother-tincture-q-otc328822
ADEL Damiana Mother Tincture Q,20,ml,270,243,ADEL,4,5,stomach,/otc/adel-damiana-mother-tincture-q-otc327698
ADEL Echinacea Mother Tincture Q,20,ml,270,243,ADEL,4.300000191,12,ear,/otc/adel-echinacea-mother-tincture-q-otc327692
ADEL Ferrum Mur Trituration Tablet 3X,20,gm,260,234,ADEL,0,0,blood,/otc/adel-ferrum-mur-trituration-tablet-3x-otc757911
ADEL Gymnema Sylvestris Mother Tincture Q,20,ml,270,243,ADEL,0,0,liver,/otc/adel-gymnema-sylvestris-mother-tincture-q-otc327638
ADEL Hamamelis Virginiana Mother Tincture Q,20,ml,300,270,ADEL,4.599999905,5,blood,/otc/adel-hamamelis-virginiana-mother-tincture-q-otc328779
ADEL Magnesium Phosphoricum Biochemic Tablet 6X,20,gm,180,162,ADEL,0,0,stomach,/otc/adel-magnesium-phosphoricum-biochemic-tablet-6x-otc732699
ADEL Scutellaria Mother Tincture Q,20,ml,340,306,ADEL,0,0,eye,/otc/adel-scutellaria-mother-tincture-q-otc327310
ADEL Thiosinaminum Trituration Tablet 3X,20,gm,280,252,ADEL,0,0,ear,/otc/adel-thiosinaminum-trituration-tablet-3x-otc329090
ADEL Thuja Mother Tincture Q,20,ml,270,243,ADEL,4.599999905,5,skin,/otc/adel-thuja-mother-tincture-q-otc328826
Adven A-124 Liver & Gallbladder Drop,30,ml,170,147,Adven,0,0,liver,/otc/adven-a-124-liver-gallbladder-drop-otc517116
Adven Rolfia Tablet,25,gm,140,115,Adven,0,0,ear,/otc/adven-rolfia-tablet-otc328953
Allen A02 Anti Fungal Drop,30,ml,160,135,Allen,4.199999809,28,skin,/otc/allen-a02-anti-fungal-drop-otc330447
Allen A04 Blood Purifier Drop,30,ml,160,133,Allen,0,0,skin,/otc/allen-a04-blood-purifier-drop-otc330354
Allen A08 Diabetes Drop,30,ml,170,143,Allen,4.099999905,24,skin,/otc/allen-a08-diabetes-drop-otc330371
Allen A11 Eczema Drop,30,ml,170,145,Allen,4.099999905,11,skin,/otc/allen-a11-eczema-drop-otc330446
Allen A19 Joint Pains Drop,30,ml,160,135,Allen,4.400000095,19,ear,/otc/allen-a19-joint-pains-drop-otc330404
Allen A26 Piles Drop,30,ml,160,135,Allen,4.199999809,35,blood,/otc/allen-a26-piles-drop-otc330467
Allen A27 Psoriasis Drop,30,ml,170,141,Allen,4.300000191,15,skin,/otc/allen-a27-psoriasis-drop-otc330443
Allen A28 Rheumatism Drop,30,ml,160,133,Allen,4.400000095,7,ear,/otc/allen-a28-rheumatism-drop-otc330402
Allen A31 Warts Drop,30,ml,170,141,Allen,3.900000095,17,eye,/otc/allen-a31-warts-drop-otc330451
Allen A34 Acne Drop,30,ml,160,133,Allen,0,0,skin,/otc/allen-a34-acne-drop-otc330450
Allen A35 Asthma Drop,30,ml,160,133,Allen,4.199999809,6,nose,/otc/allen-a35-asthma-drop-otc330430
Allen A39 Anti Obesity Drop,30,ml,170,141,Allen,4.199999809,21,thyroid,/otc/allen-a39-anti-obesity-drop-otc330369
Allen A46 Anti Dandruff Drop,30,ml,170,145,Allen,0,0,hair,/otc/allen-a46-anti-dandruff-drop-otc330333
Allen A47 Throat Infection Drop,30,ml,170,153,Allen,4.5,13,ear,/otc/allen-a47-throat-infection-drop-otc330429
Allen A48 Spondylytis Drop,30,ml,175,137,Allen,0,0,ear,/otc/allen-a48-spondylytis-drop-otc330406
Allen A50 H.B.P (High Blood Pressure) Drop,30,ml,160,128,Allen,4.199999809,17,ear,/otc/allen-a50-h.b.p-high-blood-pressure-drop-otc330347
Allen A59 Tumour Drop,30,ml,170,141,Allen,4.300000191,8,skin,/otc/allen-a59-tumour-drop-otc330275
Allen A82 Premature Greying Of Hair Drop,30,ml,170,142,Allen,3.599999905,43,hair,/otc/allen-a82-premature-greying-of-hair-drop-otc330331
Allen A87 Creatinine & Blood Urea Drop,30,ml,170,143,Allen,4.599999905,63,kidney,/otc/allen-a87-creatinine-blood-urea-drop-otc330464
Allen Crack Care Cream,25,gm,90,75,Allen,4.400000095,14,skin,/otc/allen-crack-care-cream-otc330460
Allen Fair Touch Cream,25,gm,90,74,Allen,4.5,15,skin,/otc/allen-fair-touch-cream-otc330456
Allen Jaborandi Gold Oil,110,ml,100,90,Allen,3.700000048,11,hair,/otc/allen-jaborandi-gold-oil-otc330335
Allen Laxocid Tablet,25,gm,160,133,Allen,4.5,6,stomach,/otc/allen-laxocid-tablet-otc330232
Allen Orthotone Tablet,25,gm,160,133,Allen,5,6,ear,/otc/allen-orthotone-tablet-otc330410
Allen Snorid Drop,30,ml,160,110,Allen,4.099999905,41,ear,/otc/allen-snorid-drop-otc330383
Allen's Arnica Montana Hair Oil,100,ml,130,117,Allen's,4.300000191,18,hair,/otc/allen-s-arnica-montana-hair-oil-otc392973
Allen's Gastrin Syrup,110,ml,100,82,Allen's,4.800000191,5,ear,/otc/allen-s-gastrin-syrup-otc399600
Bahola Eye Bright Eye Drop,10,ml,85,73,Bahola,0,0,nose,/otc/bahola-eye-bright-eye-drop-otc388681
Bakson B16 Vertigo Drop,30,ml,175,144,Bakson,4.400000095,27,legs,/otc/bakson-b16-vertigo-drop-otc388047
Bakson B19 Colic Drop,30,ml,175,147,Bakson,0,0,liver,/otc/bakson-b19-colic-drop-otc388053
Bakson B22 Sinus Drop,30,ml,175,136,Bakson,4.400000095,67,face,/otc/bakson-b22-sinus-drop-otc388057
Bakson B25 Acne Drop,30,ml,175,155,Bakson,3.900000095,11,skin,/otc/bakson-b25-acne-drop-otc388065
Bakson B28 Weight Drop,30,ml,175,137,Bakson,4.199999809,26,bone,/otc/bakson-b28-weight-drop-otc388070
Bakson B32 Lax-N-Liv Drop,30,ml,175,125,Bakson,4.400000095,9,ear,/otc/bakson-b32-lax-n-liv-drop-otc388079
Bakson B34 Tumour Drop,30,ml,175,142,Bakson,4.800000191,6,liver,/otc/bakson-b34-tumour-drop-otc388083
Bakson B36 Endocrine Male Drop,30,ml,160,137,Bakson,4.800000191,6,thyroid,/otc/bakson-b36-endocrine-male-drop-otc388085
Bakson B43 Hyper Hydrosis Drop,30,ml,175,141,Bakson,0,0,hand,/otc/bakson-b43-hyper-hydrosis-drop-otc388093
Bakson B44 Convulsion Drop,30,ml,175,154,Bakson,0,0,ear,/otc/bakson-b44-convulsion-drop-otc388094
Bakson B5 Gold Drop,30,ml,160,137,Bakson,0,0,blood,/otc/bakson-b5-gold-drop-otc388000
Bakson B64 Dermato Drop,30,ml,175,130,Bakson,0,0,skin,/otc/bakson-b64-dermato-drop-otc388119
Bakson B69 Sciatica Drop,30,ml,175,147,Bakson,4.400000095,64,legs,/otc/bakson-b69-sciatica-drop-otc388126
Bakson's Acne Aid Tablet,75,tablets,200,172,Bakson's,3.799999952,5,skin,/otc/bakson-s-acne-aid-tablet-otc659535
Bakson's Aconitum Napellus Dilution 30 CH,30,ml,100,57,Bakson's,3.900000095,18,eye,/otc/bakson-s-aconitum-napellus-dilution-30-ch-otc602482
Bakson's Aesculus Ointment,25,gm,70,57,Bakson's,4.099999905,23,blood,/otc/bakson-s-aesculus-ointment-otc326100
Bakson's Aller Aid Tablet,200,tablets,460,387,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc326090
Bakson's Aller Aid Tablet,200,tablets,460,387,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc326090
Bakson's Aller Aid Tablet,200,tablets,460,387,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc326090
Bakson's Aller Aid Tablet,200,tablets,460,387,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc326090
Bakson's Aller Aid Tablet,75,tablets,215,177,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc388848
Bakson's Aller Aid Tablet,75,tablets,215,177,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc388848
Bakson's Aller Aid Tablet,75,tablets,215,177,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc388848
Bakson's Aller Aid Tablet,75,tablets,215,177,Bakson's,4.400000095,264,ear,/otc/bakson-s-aller-aid-tablet-otc388848
Bakson's Aloevera Calendula Cream,250,gm,290,247,Bakson's,4.599999905,153,skin,/otc/bakson-s-aloevera-calendula-cream-otc325908
Bakson's Apis Mellifica Ointment,25,gm,70,57,Bakson's,4.800000191,5,skin,/otc/bakson-s-apis-mellifica-ointment-otc327261
Bakson's Arnica Ointment,25,gm,70,57,Bakson's,4.599999905,9,ear,/otc/bakson-s-arnica-ointment-otc327265
Bakson's Arnica Shampoo,250,ml,215,180,Bakson's,4.5,88,hair,/otc/bakson-s-arnica-shampoo-otc400756
Bakson's Baksoint 9 Cream,25,gm,70,61,Bakson's,4.300000191,16,skin,/otc/bakson-s-baksoint-9-cream-otc327246
Bakson's Beepee Aid Drop,30,ml,160,128,Bakson's,4.5,30,blood,/otc/bakson-s-beepee-aid-drop-otc326088
Bakson's Biocombination 24 Tablet,250,biocombination,95,85,Bakson's,0,0,blood,/otc/bakson-s-biocombination-24-tablet-otc694719
Bakson's Body Oil,100,ml,120,107,Bakson's,0,0,skin,/otc/bakson-s-body-oil-otc400474
Bakson's Bouchi Oil,100,ml,240,206,Bakson's,4.099999905,16,skin,/otc/bakson-s-bouchi-oil-otc480207
Bakson's Calci Aid Tablet,75,tablets,200,153,Bakson's,4.300000191,23,bone,/otc/bakson-s-calci-aid-tablet-otc327082
Bakson's Chrysarobinum Ointment,25,gm,70,62,Bakson's,4.699999809,37,skin,/otc/bakson-s-chrysarobinum-ointment-otc326024
Bakson's Cream Bleach,30,gm,120,100,Bakson's,2.599999905,5,eye,/otc/bakson-s-cream-bleach-otc326219
"Bakson's Face Scrub with Aloevera, Cucumber & Papaya",125,gm,140,121,Bakson's,4.199999809,9,skin,/otc/bakson-s-face-scrub-with-aloevera-cucumber-papaya-otc400479
Bakson's Hair Aid Drop Dual Pack (30ml Each),2,bottles,215,136,Bakson's,4.400000095,16,hair,/otc/bakson-s-hair-aid-drop-dual-pack-30ml-each-otc326071
Bakson's Hair Color Dark Brown Sachet,1,Sachet,50,43,Bakson's,4.199999809,99,hair,/otc/bakson-s-hair-color-dark-brown-sachet-otc499063
Bakson's Hair Serum,100,ml,410,369,Bakson's,0,0,hair,/otc/bakson-s-hair-serum-otc503102
Bakson's Homoeopathic Formula 'D' Tablet,200,tablets,460,324,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc502827
Bakson's Homoeopathic Formula 'D' Tablet,200,tablets,460,324,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc502827
Bakson's Homoeopathic Formula 'D' Tablet,200,tablets,460,324,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc502827
Bakson's Homoeopathic Formula 'D' Tablet,200,tablets,460,324,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc502827
Bakson's Homoeopathic Formula 'D' Tablet,75,tablets,215,181,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc358328
Bakson's Homoeopathic Formula 'D' Tablet,75,tablets,215,181,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc358328
Bakson's Homoeopathic Formula 'D' Tablet,75,tablets,215,181,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc358328
Bakson's Homoeopathic Formula 'D' Tablet,75,tablets,215,181,Bakson's,4,160,skin,/otc/bakson-s-homoeopathic-formula-d-tablet-otc358328
Bakson's Kof Aid Cough Syrup,450,ml,260,195,Bakson's,4.599999905,50,nose,/otc/bakson-s-kof-aid-cough-syrup-otc502844
Bakson's Mig Aid Tablet,75,tablets,200,174,Bakson's,4.699999809,26,eye,/otc/bakson-s-mig-aid-tablet-otc327318
Bakson's Mud Pack,150,gm,190,167,Bakson's,0,0,skin,/otc/bakson-s-mud-pack-otc400482
Bakson's Natrum Muriaticum Biochemic Tablet 12X,4500,biochemic,655,589,Bakson's,0,0,blood,/otc/bakson-s-natrum-muriaticum-biochemic-tablet-12x-otc695228
Bakson's Natrum Muriaticum Biochemic Tablet 30X,250,biochemic,95,85,Bakson's,0,0,blood,/otc/bakson-s-natrum-muriaticum-biochemic-tablet-30x-otc695229
Bakson's Natrum Sulphuricum Biochemic Tablet 30X,4500,biochemic,655,589,Bakson's,4.599999905,16,liver,/otc/bakson-s-natrum-sulphuricum-biochemic-tablet-30x-otc695560
Bakson's Phytolacca Berry Tablet,200,tablets,460,355,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502895
Bakson's Phytolacca Berry Tablet,200,tablets,460,355,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502895
Bakson's Phytolacca Berry Tablet,200,tablets,460,355,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502895
Bakson's Phytolacca Berry Tablet,200,tablets,460,355,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502895
Bakson's Phytolacca Berry Tablet,75,tablets,200,159,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502894
Bakson's Phytolacca Berry Tablet,75,tablets,200,159,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502894
Bakson's Phytolacca Berry Tablet,75,tablets,200,159,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502894
Bakson's Phytolacca Berry Tablet,75,tablets,200,159,Bakson's,4,11,blood,/otc/bakson-s-phytolacca-berry-tablet-otc502894
Bakson's Sulphur Ointment,25,gm,70,57,Bakson's,4.400000095,17,skin,/otc/bakson-s-sulphur-ointment-otc327238
"Bakson's Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100,gm,165,142,Bakson's,3.900000095,39,skin,/otc/bakson-s-sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
Bakson's Throat Aid Tablet,200,tablets,460,374,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc502934
Bakson's Throat Aid Tablet,200,tablets,460,374,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc502934
Bakson's Throat Aid Tablet,200,tablets,460,374,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc502934
Bakson's Throat Aid Tablet,200,tablets,460,374,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc502934
Bakson's Throat Aid Tablet,75,tablets,215,183,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc325990
Bakson's Throat Aid Tablet,75,tablets,215,183,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc325990
Bakson's Throat Aid Tablet,75,tablets,215,183,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc325990
Bakson's Throat Aid Tablet,75,tablets,215,183,Bakson's,4.300000191,217,ear,/otc/bakson-s-throat-aid-tablet-otc325990
Bakson's Vitamin D Plus Tablet,30,tablets,160,141,Bakson's,4.599999905,103,bone,/otc/bakson-s-vitamin-d-plus-tablet-otc513616
Bakson's Wart Aid Tablet,75,tablets,215,187,Bakson's,4,20,eye,/otc/bakson-s-wart-aid-tablet-otc326041
Bakson's Worm-C Tablet,75,tablets,200,176,Bakson's,0,0,nose,/otc/bakson-s-worm-c-tablet-otc659544
Bhargava Sinin Drop,30,ml,166,140,Bhargava,4.599999905,5,nose,/otc/bhargava-sinin-drop-otc328755
Bhargava Tumorin Drop,30,ml,166,149,Bhargava,4.400000095,51,thyroid,/otc/bhargava-tumorin-drop-otc327451
Bio India Complex 10 Sleeping Drop,30,ml,150,131,Bio,4.699999809,6,blood,/otc/bio-india-complex-10-sleeping-drop-otc505363
Bjain Aspidosperma Quebracho Mother Tincture Q,100,ml,460,264,Bjain,4.199999809,29,blood,/otc/bjain-aspidosperma-quebracho-mother-tincture-q-otc444422
Bjain Belladonna Globules 30 CH,6,gm,85,55,Bjain,4.300000191,9,skin,/otc/bjain-belladonna-globules-30-ch-otc442271
Bjain Berberis Aquifolium Mother Tincture Q,100,ml,480,432,Bjain,4.400000095,15,eye,/otc/bjain-berberis-aquifolium-mother-tincture-q-otc444630
Bjain Bryonia Alba Dilution 200 CH,100,ml,185,159,Bjain,4.599999905,33,stomach,/otc/bjain-bryonia-alba-dilution-200-ch-otc436083
Bjain Ceanothus Americanus Mother Tincture Q,100,ml,650,562,Bjain,3.599999905,5,liver,/otc/bjain-ceanothus-americanus-mother-tincture-q-otc445313
Bjain Chionanthus Virginica Mother Tincture Q,100,ml,930,810,Bjain,0,0,liver,/otc/bjain-chionanthus-virginica-mother-tincture-q-otc445366
Bjain Ginkgo Biloba Trituration Tablet 1X,25,gm,305,274,Bjain,0,0,skin,/otc/bjain-ginkgo-biloba-trituration-tablet-1x-otc484361
Bjain Guatteria Gaumeri Drop,30,ml,345,283,Bjain,4.599999905,119,blood,/otc/bjain-guatteria-gaumeri-drop-otc327159
Bjain Jaborandi Mother Tincture Q,100,ml,330,277,Bjain,4.599999905,34,hair,/otc/bjain-jaborandi-mother-tincture-q-otc445151
Bjain Omeo Alfa Alfa Malt Energy Booster,450,gm,310,276,Bjain,4.400000095,12,skin,/otc/bjain-omeo-alfa-alfa-malt-energy-booster-otc425843
Bjain Omeo Allergy Tablet,450,gm,750,653,Bjain,4.300000191,29,eye,/otc/bjain-omeo-allergy-tablet-otc425860
